Volcano_Number,Volcano_Name,Country,Primary_Volcano_Type,Type_group,Tectonic_Setting,Last_Eruption_Year,years_since,dated
323200,Salton Buttes,United States,Lava dome(s),Monogenetic / field,Rift zone / Continental crust (> 25 km),210.0,1816.0,True
358052,Melimoyu,Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),200.0,1826.0,True
370010,Snaefellsjokull,Iceland,Stratovolcano,Stratovolcano / complex,Rift zone / Oceanic crust (< 15 km),200.0,1826.0,True
300170,Uzon,Russia,Caldera(s),Caldera,Subduction zone / Continental crust (> 25 km),200.0,1826.0,True
360030,Liamuiga,Saint Kitts and Nevis,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),160.0,1866.0,True
371050,Hengill,Iceland,Crater rows,Monogenetic / field,Rift zone / Oceanic crust (< 15 km),150.0,1876.0,True
212030,Milos,Greece,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),140.0,1886.0,True
271031,Leonard Range,Philippines,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),80.0,1946.0,True
214010,Elbrus,Russia,Stratovolcano,Stratovolcano / complex,Intraplate / Continental crust (> 25 km),50.0,1976.0,True
383040,Gran Canaria,Spain,Fissure vent(s),Monogenetic / field,Intraplate / Intermediate crust (15-25 km),40.0,1986.0,True
305011,Arxan-Chaihe,China,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),0.0,2026.0,True
334021,Northern EPR at 16°N,Mexico,Fissure vent(s),Monogenetic / field,Rift zone / Oceanic crust (< 15 km),-50.0,2076.0,True
357061,"Maule, Laguna del",Chile,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),-50.0,2076.0,True
334020,Northern EPR at 17°N,Mexico,Fissure vent(s),Monogenetic / field,Rift zone / Oceanic crust (< 15 km),-50.0,2076.0,True
333050,Adams Seamount,United Kingdom,Lava dome,Monogenetic / field,Intraplate / Oceanic crust (< 15 km),-50.0,2076.0,True
283060,Norikuradake,Japan,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-50.0,2076.0,True
386020,Bouvet,Norway,Shield,Shield,Rift zone / Oceanic crust (< 15 km),-50.0,2076.0,True
344091,Apoyeque,Nicaragua,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),-50.0,2076.0,True
324020,Craters of the Moon,United States,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),-130.0,2156.0,True
323160,Ubehebe Craters,United States,Maar(s),Monogenetic / field,Rift zone / Continental crust (> 25 km),-150.0,2176.0,True
300210,Gamchen,Russia,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-188.0,2214.0,True
358012,Cayutue-La Vigueria,Chile,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-190.0,2216.0,True
390028,Hudson Mountains,Antarctica,Stratovolcano(es),Stratovolcano / complex,Intraplate / Continental crust (> 25 km),-207.0,2233.0,True
302030,Udokan Plateau,Russia,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),-220.0,2246.0,True
357153,Antillanca Volcanic Complex,Chile,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-230.0,2256.0,True
212020,Methana,Greece,Lava dome(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),-258.0,2284.0,True
324030,Wapi Lava Field,United States,Shield,Shield,Rift zone / Continental crust (> 25 km),-300.0,2326.0,True
300053,Khodutka,Russia,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-300.0,2326.0,True
373082,Heidarspordar,Iceland,Fissure vent,Monogenetic / field,Rift zone / Oceanic crust (< 15 km),-300.0,2326.0,True
355011,Taapaca,Chile,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-320.0,2346.0,True
352021,Atacazo,Ecuador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-320.0,2346.0,True
221290,Corbetti,Ethiopia,Caldera,Caldera,Rift zone / Continental crust (> 25 km),-396.0,2422.0,True
282091,Fukue,Japan,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-400.0,2426.0,True
320180,Meager,Canada,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-410.0,2436.0,True
312150,Mageik,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-500.0,2526.0,True
305040,Jingpohu,China,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-520.0,2546.0,True
300123,Bakening,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-550.0,2576.0,True
